Timepoint,louvain_clusters,n,sum_clusters,percentage,sum_of_samples,l2fc_from_B,Sig_Diff,Power_.05,Baseline_percent,Change,Color
0,1,61194,220562,27.7445797553522,13,0,NA,NA,27.7445797553522,NA,black
0,2,18482,220562,8.37950326892212,13,0,NA,NA,8.37950326892212,NA,black
0,3,124035,220562,56.2358883216511,13,0,NA,NA,56.2358883216511,NA,black
0,4,168,220562,0.0761690590400885,13,0,NA,NA,0.0761690590400885,NA,black
0,5,16683,220562,7.5638595950345,13,0,NA,NA,7.5638595950345,NA,black
1,1,4279,5038,84.9344978165939,8,0.491,FALSE,TRUE,27.7445797553522,SAME,blue
1,2,104,5038,2.06431123461691,8,-0.001,FALSE,FALSE,8.37950326892212,NA,black
1,3,13,5038,0.258038904327114,8,-2.112,TRUE,TRUE,56.2358883216511,LESS,red
1,4,28,5038,0.55577610162763,8,0.641,FALSE,FALSE,0.0761690590400885,NA,black
1,5,614,5038,12.1873759428345,8,0.611,FALSE,FALSE,7.5638595950345,NA,black
3,1,2620,3632,72.136563876652,8,0.287,FALSE,TRUE,27.7445797553522,SAME,blue
3,2,119,3632,3.27643171806167,8,-0.215,FALSE,FALSE,8.37950326892212,NA,black
3,3,21,3632,0.578193832599119,8,-2.265,TRUE,TRUE,56.2358883216511,LESS,red
3,4,197,3632,5.42400881057269,8,0.196,FALSE,FALSE,0.0761690590400885,NA,black
3,5,675,3632,18.5848017621145,8,1.022,FALSE,FALSE,7.5638595950345,NA,green
6,1,2408,15986,15.0631802827474,6,0.331,FALSE,TRUE,27.7445797553522,SAME,black
6,2,362,15986,2.26448142124359,6,-0.073,FALSE,FALSE,8.37950326892212,NA,black
6,3,11975,15986,74.9092956336795,6,-1.519,TRUE,TRUE,56.2358883216511,LESS,red
6,4,331,15986,2.07056174152383,6,0.622,FALSE,FALSE,0.0761690590400885,NA,black
6,5,910,15986,5.69248092080571,6,0.845,FALSE,FALSE,7.5638595950345,NA,black
12,1,6992,52086,13.4239526936221,9,0.117,FALSE,TRUE,27.7445797553522,SAME,blue
12,2,1389,52086,2.66674346273471,9,0.065,FALSE,FALSE,8.37950326892212,NA,black
12,3,41178,52086,79.057712245133,9,-0.376,FALSE,TRUE,56.2358883216511,SAME,blue
12,4,462,52086,0.886994585877203,9,0.461,FALSE,FALSE,0.0761690590400885,NA,black
12,5,2065,52086,3.96459701263295,9,0.196,FALSE,FALSE,7.5638595950345,NA,black
